"season","yr","mnth","weekday","workingday","weathersit","atemp","hum","windspeed","predicted"
"1","0","1","6","0","2",0.363625,0.805833,0.160446,1436
"1","0","1","3","1","1",0.22927,0.436957,0.1869,1302
"1","0","1","6","0","2",0.162254,0.535833,0.266804,1283
"1","0","1","0","0","1",0.116175,0.434167,0.36195,1206
"1","0","1","2","1","2",0.191464,0.686364,0.122132,907
"1","0","1","5","1","1",0.188413,0.537826,0.126548,1456
"1","0","1","4","1","2",0.25505,0.538333,0.195904,1462
"1","0","1","6","0","1",0.0790696,0.4,0.17197,1283
"1","0","2","5","1","2",0.228587,0.585217,0.127839,1697
"1","0","2","2","1","1",0.186033,0.577778,0.195683,1580
"1","0","2","4","1","2",0.289191,0.697391,0.250496,1610
"1","0","2","1","1","2",0.400118,0.876364,0.289686,2018
"1","0","3","3","1","2",0.286608,0.775417,0.22015,1687
"1","0","3","0","0","1",0.380091,0.527391,0.270604,1850
"1","0","3","4","1","1",0.410333,0.602917,0.209579,2570
"2","0","3","2","1","1",0.440642,0.624583,0.22575,3107
"2","0","3","1","1","1",0.257574,0.302174,0.212204,1945
"2","0","3","2","1","1",0.292908,0.314167,0.226996,1945
"2","0","4","1","1","2",0.565217,0.716956,0.324474,3642
"2","0","4","5","0","1",0.441913,0.67125,0.226375,3750
"2","0","4","6","0","3",0.425492,0.888333,0.340808,1512
"2","0","4","4","1","1",0.453892,0.407083,0.325258,3623
"2","0","4","5","1","2",0.321954,0.729583,0.219521,2266
"2","0","4","3","1","2",0.575142,0.835417,0.3122,3703
"2","0","5","4","1","2",0.510742,0.829583,0.108213,4436
"2","0","5","1","1","2",0.590296,0.81,0.233842,3988
"2","0","5","4","1","1",0.654688,0.6775,0.199642,4649
"2","0","6","6","0","1",0.594696,0.45625,0.123142,5029
"2","0","6","6","0","1",0.678038,0.654583,0.15485,4192
"2","0","6","1","1","1",0.601654,0.494583,0.30535,4870
"2","0","6","2","1","1",0.591546,0.507083,0.269283,4967
"2","0","6","3","1","1",0.587754,0.471667,0.167912,4967
"2","0","6","1","1","2",0.595346,0.74625,0.155475,4191
"3","0","6","4","1","2",0.693833,0.703333,0.238804,4150
"3","0","6","1","1","2",0.637004,0.658333,0.107588,4499
"3","0","6","3","1","1",0.654688,0.497917,0.261821,4880
"3","0","6","4","1","1",0.637008,0.434167,0.185312,4967
"3","0","7","6","0","1",0.667308,0.444583,0.115062,4855
"3","0","7","4","1","1",0.635104,0.47625,0.240667,4967
"3","0","7","3","1","1",0.74685,0.707083,0.113817,3949
"3","0","7","4","1","2",0.826371,0.69125,0.222021,3643
"3","0","7","3","1","1",0.690667,0.402917,0.183463,4439
"3","0","7","4","1","1",0.7399,0.583333,0.178479,4201
"3","0","8","2","1","1",0.707071,0.49125,0.20585,4439
"3","0","9","5","1","2",0.604808,0.727083,0.139929,4171
"3","0","9","2","1","3",0.5152,0.886957,0.343943,2329
"3","0","9","3","1","3",0.544229,0.917083,0.0970208,2907
"3","0","9","5","1","2",0.578946,0.897917,0.124379,4383
"3","0","9","1","1","1",0.60213,0.692174,0.088913,4644
"3","0","9","1","1","2",0.529675,0.69,0.151742,4096
"3","0","9","2","1","2",0.532217,0.88125,0.134954,3770
"4","0","9","5","1","2",0.522125,0.9725,0.0783667,4323
"4","0","9","5","1","1",0.544829,0.6475,0.206475,4636
"4","0","10","6","0","1",0.513242,0.70125,0.0454042,4729
"4","0","10","6","0","1",0.425492,0.629167,0.0926667,4161
"4","0","10","0","0","1",0.321329,0.62375,0.176617,3152
"4","0","10","1","1","1",0.356063,0.703333,0.10635,3367
"4","0","11","0","0","1",0.362358,0.734583,0.0920542,3367
"4","0","11","5","0","1",0.306817,0.44625,0.314675,3320
"4","0","11","0","0","2",0.457058,0.684583,0.18595,3329
"4","0","12","4","1","1",0.305554,0.524583,0.220158,3445
"4","0","12","2","1","3",0.4564,0.949583,0.232583,1516
"4","0","12","4","1","1",0.256938,0.58,0.240058,3445
"4","0","12","5","1","1",0.317542,0.695833,0.0827167,3525
"4","0","12","6","0","1",0.266412,0.5075,0.233221,3435
"4","0","12","0","0","1",0.253154,0.49,0.0665417,2813
"4","0","12","2","1","1",0.301138,0.59,0.14055,3445
"4","0","12","6","0","2",0.249371,0.560833,0.243167,3257
"4","0","12","1","1","1",0.280933,0.6375,0.172896,3445
"1","1","1","0","0","1",0.375621,0.6925,0.192167,4189
"1","1","1","0","0","1",0.340258,0.465,0.191542,3531
"1","1","1","2","1","1",0.318826,0.646522,0.187552,3858
"1","1","1","3","1","2",0.282821,0.8475,0.131221,2038
"1","1","1","5","1","2",0.220958,0.45,0.20275,3011
"1","1","1","6","0","2",0.174875,0.83125,0.222642,1540
"1","1","1","0","0","2",0.16225,0.79625,0.199638,1670
"1","1","1","1","1","2",0.243058,0.91125,0.110708,1441
"1","1","1","2","1","1",0.349108,0.835833,0.123767,1914
"1","1","1","4","1","2",0.35605,0.769583,0.0733958,3970
"1","1","1","6","0","1",0.326379,0.543333,0.210829,3620
"1","1","1","1","1","1",0.262625,0.400833,0.215792,3573
"1","1","2","6","0","1",0.355425,0.534583,0.190929,4292
"1","1","2","0","0","2",0.265788,0.515833,0.253112,2991
"1","1","2","5","1","2",0.410971,0.7375,0.237567,3763
"1","1","2","1","1","1",0.357954,0.490833,0.268033,4311
"1","1","3","5","1","2",0.359842,0.657083,0.144904,4225
"1","1","3","0","0","1",0.303021,0.403333,0.334571,3531
"1","1","3","3","1","1",0.548617,0.507083,0.115062,6129
"1","1","3","0","0","2",0.464,0.81,0.126883,5193
"1","1","3","2","1","1",0.538533,0.807917,0.121271,5269
"2","1","3","3","1","2",0.513258,0.82125,0.0895583,5709
"2","1","3","5","1","2",0.375621,0.580833,0.138067,5697
"2","1","4","3","1","1",0.53345,0.469583,0.180975,6552
"2","1","4","4","1","1",0.431163,0.374167,0.219529,5738
"2","1","4","4","1","1",0.387604,0.46625,0.290429,5550
"2","1","4","2","1","1",0.598487,0.390417,0.273629,6402
"2","1","4","0","0","3",0.389504,0.835417,0.344546,2086
"2","1","4","3","1","1",0.470317,0.427917,0.118792,6293
"2","1","4","6","0","2",0.377504,0.489583,0.129975,5822
"2","1","4","0","0","1",0.450121,0.587083,0.116908,5851
"2","1","5","5","1","1",0.520833,0.360417,0.236937,7041
"2","1","5","1","1","2",0.5499,0.789583,0.212692,5275
"2","1","5","1","0","1",0.6793,0.67625,0.196521,6466
"2","1","5","3","1","2",0.611129,0.67,0.134329,7026
"2","1","6","1","1","1",0.578283,0.487083,0.284833,6736
"2","1","6","5","1","1",0.597862,0.467917,0.175383,7041
"2","1","6","1","1","2",0.659721,0.587917,0.207713,6064
"2","1","6","1","1","2",0.544842,0.777917,0.174746,5368
"2","1","6","3","1","1",0.720975,0.592083,0.113812,6498
"3","1","6","3","1","1",0.640792,0.36,0.271775,6983
"3","1","7","2","1","1",0.70265,0.492083,0.126237,6803
"3","1","7","0","0","1",0.790396,0.57375,0.125629,5092
"3","1","7","1","1","1",0.724125,0.645,0.164187,6206
"3","1","7","3","1","1",0.654054,0.45,0.1648,6983
"3","1","8","5","1","2",0.722867,0.6425,0.215792,6484
"3","1","8","2","1","2",0.697621,0.70375,0.116908,6701
"3","1","8","3","1","2",0.707717,0.672917,0.1107,6830
"3","1","8","5","1","2",0.667942,0.715833,0.238813,6434
"3","1","8","3","1","1",0.654037,0.619583,0.169771,7145
"3","1","8","0","0","2",0.603554,0.711667,0.08645,6608
"3","1","8","3","1","1",0.621854,0.677083,0.0702833,7123
"3","1","9","4","1","2",0.655329,0.810417,0.142421,5694
"3","1","9","4","1","1",0.579558,0.637083,0.0827208,7289
"3","1","9","6","0","1",0.585867,0.501667,0.247521,7436
"3","1","9","1","1","2",0.55305,0.734583,0.151742,6435
"3","1","9","2","1","2",0.565067,0.8725,0.357587,1329
"3","1","9","5","1","1",0.571971,0.66875,0.154229,7436
"4","1","9","2","1","1",0.544179,0.57,0.236321,7122
"4","1","10","3","1","2",0.599133,0.79375,0.0665458,6262
"4","1","10","5","1","1",0.580187,0.6275,0.10635,7436
"4","1","10","0","0","2",0.419813,0.708333,0.141162,5813
"4","1","10","5","1","1",0.433071,0.539167,0.235092,6843
"4","1","10","3","1","1",0.450108,0.692917,0.101371,6420
"4","1","10","5","1","2",0.52275,0.807083,0.132467,6346
"4","1","11","6","0","2",0.323846,0.49125,0.270529,5298
"4","1","11","5","1","1",0.378779,0.56875,0.148021,5850
"4","1","12","0","0","2",0.359208,0.823333,0.124379,3600
"4","1","12","1","1","1",0.455796,0.7675,0.0827208,6136
"4","1","12","4","1","1",0.258204,0.50875,0.174754,4379
"4","1","12","3","1","2",0.297338,0.538333,0.162937,5060
"4","1","12","4","1","1",0.294188,0.485833,0.174129,5060
"1","1","12","5","1","2",0.301767,0.556667,0.374383,3280
"1","1","12","3","1","3",0.220333,0.823333,0.316546,873
"1","1","12","6","0","2",0.2424,0.752917,0.124383,1339
